N,Precision,Mean_ms,Std_ms,TFLOPS,Repetitions,GPU_UUID,Theoretical_TFLOPS,Percent_of_Peak
1024,FP32,0.19230720028281212,0.01092661349873144,11.166943540553099,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,19.5,57.26637713104154
4096,FP32,8.336486411094665,1.0055256416604839,16.48643645470213,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,19.5,84.54582797283143
8192,FP32,57.42638092041015,0.04581233818419821,19.146455168398365,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,19.5,98.18694958153009
16384,FP32,460.75295104980466,0.0827439316132723,19.090692750131065,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,19.5,97.90098846221059
1024,TF32,0.05534719936549663,0.005135082084321293,38.80022246145915,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,156.0,24.871937475294324
4096,TF32,1.0476031839847564,0.0033570273951380653,131.19371492288235,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,156.0,84.09853520697587
8192,TF32,8.494899225234985,0.06097975537601051,129.43198013577205,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,156.0,82.96921803575131
16384,TF32,70.68631019592286,0.2845348517765934,124.43842376023969,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,156.0,79.76822035912801
1024,FP16,0.05422080047428608,0.012195813974984435,39.60626971965182,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,12.694317217837122
4096,FP16,0.545535996556282,0.00439096890602018,251.93379417598274,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,80.74801095384062
8192,FP16,4.147660803794861,0.09545880308684762,265.09198311733036,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,84.96537920427255
16384,FP16,33.26469135284424,0.42531831979825435,264.42731510436533,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,84.75234458473247
1024,BF16,0.040038401074707505,0.007475199614179473,53.63559958333546,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,17.19089730235111
4096,BF16,0.5320703983306885,0.004763523684160067,258.30971597592986,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,82.79157563331086
8192,BF16,4.018739235401154,0.12680184227666141,273.59616122648123,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,87.69107731617987
16384,BF16,32.37928943634033,0.23022252320132175,271.65800038637843,20,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,312.0,87.06987191871104
