Elapsed_s,Timestamp,GPU_UUID,SM_Clock_MHz,Memory_Clock_MHz,Temperature_C,Power_W,GPU_Utilization_pct
0.03206801414489746,2026/09/22 18:11:03.720,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1095.0,1215.0,37.0,273.14,1.0
5.064077138900757,2026/09/22 18:11:08.752,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1260.0,1215.0,58.0,400.98,100.0
10.095422983169556,2026/09/22 18:11:13.784,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1260.0,1215.0,61.0,394.0,100.0
15.128693103790283,2026/09/22 18:11:18.815,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,63.0,396.24,100.0
20.159911394119263,2026/09/22 18:11:23.849,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,64.0,398.38,100.0
25.191599369049072,2026/09/22 18:11:28.880,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,65.0,382.95,100.0
30.223661422729492,2026/09/22 18:11:33.912,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,66.0,401.85,100.0
35.25517225265503,2026/09/22 18:11:38.943,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,67.0,401.85,100.0
40.286885023117065,2026/09/22 18:11:43.975,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,67.0,402.45,100.0
45.320353269577026,2026/09/22 18:11:49.007,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,68.0,387.2,100.0
50.3522834777832,2026/09/22 18:11:54.040,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,68.0,388.47,100.0
55.38322734832764,2026/09/22 18:11:59.072,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,68.0,388.79,100.0
60.41607451438904,2026/09/22 18:12:04.103,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,69.0,390.13,100.0
65.44804501533508,2026/09/22 18:12:09.136,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,69.0,404.36,100.0
70.4796679019928,2026/09/22 18:12:14.168,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,69.0,391.26,100.0
75.5122218132019,2026/09/22 18:12:19.200,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,392.13,100.0
80.54454064369202,2026/09/22 18:12:24.232,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,70.0,407.55,100.0
85.57653832435608,2026/09/22 18:12:29.264,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,70.0,409.88,100.0
90.61069869995117,2026/09/22 18:12:34.296,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,393.14,100.0
95.64274311065674,2026/09/22 18:12:39.330,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,411.34,100.0
100.67447805404663,2026/09/22 18:12:44.362,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,70.0,385.15,100.0
105.70740008354187,2026/09/22 18:12:49.396,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,70.0,393.32,100.0
110.73928689956665,2026/09/22 18:12:54.428,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1245.0,1215.0,70.0,393.59,100.0
115.77155065536499,2026/09/22 18:12:59.459,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,403.77,100.0
120.80367708206177,2026/09/22 18:13:04.492,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,394.19,100.0
125.83488917350769,2026/09/22 18:13:09.523,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,394.46,100.0
130.86659574508667,2026/09/22 18:13:14.555,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,394.19,100.0
135.89960885047913,2026/09/22 18:13:19.587,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,395.05,100.0
140.93151807785034,2026/09/22 18:13:24.619,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,394.78,100.0
145.96359419822693,2026/09/22 18:13:29.651,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,70.0,394.78,100.0
150.99498581886292,2026/09/22 18:13:34.684,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.92,100.0
156.0271532535553,2026/09/22 18:13:39.715,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.37,100.0
161.05953907966614,2026/09/22 18:13:44.747,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.92,100.0
166.0909447669983,2026/09/22 18:13:49.779,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.92,100.0
171.12276196479797,2026/09/22 18:13:54.811,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.92,100.0
176.15623593330383,2026/09/22 18:13:59.843,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.92,100.0
181.18762707710266,2026/09/22 18:14:04.876,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
186.2197515964508,2026/09/22 18:14:09.908,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,395.65,100.0
191.2517569065094,2026/09/22 18:14:14.939,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.24,100.0
196.2838044166565,2026/09/22 18:14:19.972,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
201.31563591957092,2026/09/22 18:14:25.004,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.24,100.0
206.34722757339478,2026/09/22 18:14:30.036,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
211.37972044944763,2026/09/22 18:14:35.067,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
216.41152715682983,2026/09/22 18:14:40.099,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
221.44237852096558,2026/09/22 18:14:45.131,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
226.4739112854004,2026/09/22 18:14:50.162,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.79,100.0
231.5058469772339,2026/09/22 18:14:55.193,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.1,100.0
236.54027152061462,2026/09/22 18:15:00.228,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.79,100.0
241.57171392440796,2026/09/22 18:15:05.260,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.51,100.0
246.60550355911255,2026/09/22 18:15:10.292,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
251.6374294757843,2026/09/22 18:15:15.326,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
256.6696276664734,2026/09/22 18:15:20.357,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
261.70339250564575,2026/09/22 18:15:25.390,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
266.7355237007141,2026/09/22 18:15:30.423,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,396.79,100.0
271.76728892326355,2026/09/22 18:15:35.456,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
276.7988305091858,2026/09/22 18:15:40.487,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
281.83046436309814,2026/09/22 18:15:45.519,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
286.8624155521393,2026/09/22 18:15:50.550,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
291.89450883865356,2026/09/22 18:15:55.582,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
296.9275770187378,2026/09/22 18:16:00.616,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
301.95908665657043,2026/09/22 18:16:05.647,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
306.99230790138245,2026/09/22 18:16:10.679,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
312.0234615802765,2026/09/22 18:16:15.712,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
317.05511379241943,2026/09/22 18:16:20.743,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
322.08638310432434,2026/09/22 18:16:25.775,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.29,100.0
327.11776852607727,2026/09/22 18:16:30.806,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
332.1499934196472,2026/09/22 18:16:35.837,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
337.1817891597748,2026/09/22 18:16:40.870,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
342.21375274658203,2026/09/22 18:16:45.902,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
347.2449960708618,2026/09/22 18:16:50.933,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
352.27671790122986,2026/09/22 18:16:55.965,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
357.3084638118744,2026/09/22 18:17:00.996,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
362.3423185348511,2026/09/22 18:17:06.030,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
367.37431931495667,2026/09/22 18:17:11.062,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.38,100.0
372.40622782707214,2026/09/22 18:17:16.094,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
377.4371476173401,2026/09/22 18:17:21.126,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
382.46842408180237,2026/09/22 18:17:26.156,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
387.50269389152527,2026/09/22 18:17:31.188,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
392.5344452857971,2026/09/22 18:17:36.222,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
397.5660445690155,2026/09/22 18:17:41.254,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.57,100.0
402.59775400161743,2026/09/22 18:17:46.286,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.57,100.0
407.62928795814514,2026/09/22 18:17:51.318,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
412.6616084575653,2026/09/22 18:17:56.349,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
417.69351983070374,2026/09/22 18:18:01.381,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
422.72607946395874,2026/09/22 18:18:06.413,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,72.0,398.25,100.0
427.75775623321533,2026/09/22 18:18:11.446,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,72.0,397.7,100.0
432.7889723777771,2026/09/22 18:18:16.477,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
437.82055497169495,2026/09/22 18:18:21.509,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.7,100.0
442.8525457382202,2026/09/22 18:18:26.540,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.11,100.0
447.8844361305237,2026/09/22 18:18:31.572,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
452.91637659072876,2026/09/22 18:18:36.604,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,72.0,398.84,100.0
457.94757652282715,2026/09/22 18:18:41.636,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,398.25,100.0
462.98177433013916,2026/09/22 18:18:46.668,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,397.97,100.0
468.0135910511017,2026/09/22 18:18:51.702,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,71.0,391.26,100.0
473.05120944976807,2026/09/22 18:18:56.734,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2,1230.0,1215.0,72.0,397.38,100.0
